epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4361,2.16841,2.91592,1.44588,0.0029,0.8,0.2501,0.10744,1.96959,3.42407,1.23553,0.000638889,0.000638889,0.000638889
2,27.0753,1.89998,2.1596,1.34726,0.00273,0.66667,0.17489,0.06438,2.07382,3.57772,1.48432,0.00127971,0.00127971,0.00127971
3,39.6327,1.85107,1.79843,1.35895,0.3331,0.06667,0.05859,0.02292,2.18483,3.73558,1.65192,0.00189412,0.00189412,0.00189412
4,52.0942,1.82908,1.72949,1.34029,0.55869,0.21164,0.21813,0.12806,2.01235,2.91798,1.48866,0.0018812,0.0018812,0.0018812
5,64.6723,1.86331,1.55491,1.34579,0.51164,0.23333,0.25799,0.13097,1.87148,2.53999,1.46896,0.0018416,0.0018416,0.0018416
6,77.2434,1.79158,1.48071,1.33723,0.58019,0.33333,0.27211,0.15826,1.71013,2.57729,1.3732,0.001802,0.001802,0.001802
7,91.1022,1.80189,1.52044,1.32215,0.53026,0.82791,0.60038,0.23315,1.89703,1.8149,1.48128,0.0017624,0.0017624,0.0017624
8,103.595,1.76302,1.39546,1.31688,0.73934,0.86667,0.82305,0.36964,1.85278,1.43536,1.39544,0.0017228,0.0017228,0.0017228
9,116.303,1.74577,1.34341,1.29229,0.78815,0.74434,0.8345,0.38154,1.92288,1.55661,1.4261,0.0016832,0.0016832,0.0016832
10,131.177,1.72773,1.2924,1.34677,0.74916,0.73333,0.82022,0.39122,1.72231,1.44304,1.32224,0.0016436,0.0016436,0.0016436
11,142.83,1.62659,1.20599,1.30139,0.79779,0.63333,0.70909,0.33713,1.90446,1.30041,1.41622,0.001604,0.001604,0.001604
12,154.851,1.63596,1.18753,1.27516,0.72342,0.9,0.87856,0.39145,1.88342,1.22239,1.44201,0.0015644,0.0015644,0.0015644
13,166.884,1.54307,1.08607,1.23852,0.74671,0.88464,0.89827,0.33531,1.96529,1.27635,1.45819,0.0015248,0.0015248,0.0015248
14,178.665,1.54303,1.11524,1.24088,0.92725,0.85005,0.94768,0.42426,1.75267,1.17002,1.2918,0.0014852,0.0014852,0.0014852
15,190.547,1.49905,1.05445,1.2085,0.78188,0.9,0.87027,0.40573,1.66454,1.16606,1.27609,0.0014456,0.0014456,0.0014456
16,202.401,1.47227,1.0227,1.19282,0.77574,0.92263,0.85913,0.4189,1.66802,1.10086,1.25475,0.001406,0.001406,0.001406
17,214.897,1.46134,0.98804,1.18346,0.88271,0.93333,0.92046,0.44671,1.65144,1.03835,1.22314,0.0013664,0.0013664,0.0013664
18,226.317,1.43639,0.96641,1.15536,0.79265,0.89218,0.92148,0.40132,1.72723,1.13406,1.24805,0.0013268,0.0013268,0.0013268
19,237.838,1.40957,0.92215,1.1268,0.84229,0.71238,0.81507,0.3616,1.85978,1.14582,1.32899,0.0012872,0.0012872,0.0012872
20,250.186,1.36369,0.89186,1.13681,0.92574,0.86667,0.92403,0.41994,1.72334,0.98298,1.25206,0.0012476,0.0012476,0.0012476
21,261.619,1.41727,0.88185,1.13882,0.8124,0.8661,0.82148,0.38325,1.7246,1.10077,1.29341,0.001208,0.001208,0.001208
22,272.826,1.3488,0.87085,1.12577,0.86051,0.93333,0.93272,0.43137,1.58935,1.04014,1.23649,0.0011684,0.0011684,0.0011684
23,285.767,1.31069,0.8778,1.10991,0.96551,0.93311,0.94454,0.4369,1.66405,0.93722,1.22585,0.0011288,0.0011288,0.0011288
24,297.245,1.26974,0.82875,1.06596,0.92947,0.87885,0.89623,0.41198,1.64962,0.91595,1.21598,0.0010892,0.0010892,0.0010892
25,307.129,1.29056,0.83905,1.11587,0.85565,0.7906,0.83641,0.35269,1.89886,1.06595,1.31434,0.0010496,0.0010496,0.0010496
26,320.124,1.3285,0.86281,1.12294,0.89412,0.86667,0.87814,0.38471,1.81904,0.99963,1.35752,0.00101,0.00101,0.00101
27,333.06,1.24007,0.77083,1.05768,0.96322,0.87321,0.94842,0.4322,1.63924,0.8727,1.26856,0.0009704,0.0009704,0.0009704
