epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21207,0.89083,2.18063,1.05507,1,0.05817,0.36558,0.26541,0.84029,3.24624,0.91629,0.000642857,0.000642857,0.000642857
2,5.61811,0.80061,1.40736,0.97767,0.81034,0.25152,0.30911,0.19994,1.03377,3.16567,1.04765,0.0012836,0.0012836,0.0012836
3,8.02707,0.84317,1.33075,0.99087,0.51851,0.33333,0.27591,0.22013,1.05854,2.7512,1.01274,0.00189793,0.00189793,0.00189793
4,10.4206,0.9281,1.24871,1.01201,0.3556,0.4437,0.30299,0.19251,1.15568,2.34781,1.13045,0.0018812,0.0018812,0.0018812
5,12.6676,0.83724,1.02108,0.99101,0.92993,0.52064,0.66328,0.48698,0.83318,1.48232,0.9117,0.0018416,0.0018416,0.0018416
6,14.9065,0.7889,0.96628,0.97412,0.75054,0.58997,0.61988,0.46658,0.91369,1.53253,0.95548,0.001802,0.001802,0.001802
7,17.2112,0.77511,0.88091,0.96649,0.91369,0.62283,0.70425,0.56459,0.78867,1.03408,0.89642,0.0017624,0.0017624,0.0017624
8,19.4257,0.78634,0.81985,0.97643,0.76681,0.60784,0.66092,0.50802,0.83132,1.12722,0.91755,0.0017228,0.0017228,0.0017228
9,21.5641,0.75201,0.75438,0.95743,0.97058,0.6469,0.69996,0.58193,0.67628,0.86151,0.85554,0.0016832,0.0016832,0.0016832
10,23.8305,0.72354,0.69742,0.9502,0.84811,0.65701,0.7025,0.55559,0.72396,0.76182,0.89228,0.0016436,0.0016436,0.0016436
11,26.1362,0.71106,0.69297,0.93171,0.92056,0.68177,0.7956,0.60197,0.63977,0.7023,0.84723,0.001604,0.001604,0.001604
12,28.4073,0.69819,0.65842,0.94024,1,0.76329,0.82043,0.6224,0.70774,0.70024,0.85254,0.0015644,0.0015644,0.0015644
13,30.7115,0.70593,0.64669,0.94858,0.93066,0.70588,0.79012,0.61593,0.63494,0.64591,0.84076,0.0015248,0.0015248,0.0015248
14,32.9359,0.64804,0.58949,0.93159,0.82902,0.76063,0.81885,0.65621,0.60274,0.59936,0.83141,0.0014852,0.0014852,0.0014852
15,35.2119,0.62642,0.58099,0.90913,0.81443,0.68847,0.81016,0.58138,0.70564,0.642,0.85944,0.0014456,0.0014456,0.0014456
16,37.2672,0.61806,0.56264,0.92557,0.95391,0.70588,0.81764,0.64031,0.6282,0.5934,0.84885,0.001406,0.001406,0.001406
17,39.3468,0.61937,0.55495,0.9178,0.97346,0.71935,0.80783,0.66663,0.57879,0.59614,0.84268,0.0013664,0.0013664,0.0013664
18,41.4464,0.61036,0.52843,0.91943,0.99459,0.72549,0.79571,0.61188,0.63602,0.58979,0.8469,0.0013268,0.0013268,0.0013268
19,43.7467,0.5771,0.50897,0.89385,1,0.73767,0.80416,0.66597,0.57483,0.57181,0.82273,0.0012872,0.0012872,0.0012872
20,46.379,0.57876,0.4856,0.90306,1,0.72054,0.79864,0.64989,0.57865,0.52366,0.83338,0.0012476,0.0012476,0.0012476
21,49.029,0.53669,0.48591,0.88002,0.93714,0.7451,0.81904,0.66795,0.55409,0.59636,0.82472,0.001208,0.001208,0.001208
22,51.704,0.55931,0.48016,0.89305,0.92663,0.74298,0.79457,0.6318,0.57113,0.50684,0.8317,0.0011684,0.0011684,0.0011684
23,54.4711,0.5688,0.47459,0.90682,0.9704,0.7451,0.82584,0.6653,0.58675,0.49353,0.82243,0.0011288,0.0011288,0.0011288
24,56.9757,0.54415,0.45986,0.88996,1,0.7241,0.83675,0.66661,0.60984,0.51949,0.823,0.0010892,0.0010892,0.0010892
25,59.7148,0.50534,0.43061,0.87765,0.9772,0.72549,0.8498,0.65139,0.57309,0.55977,0.8239,0.0010496,0.0010496,0.0010496
26,62.3724,0.52437,0.4371,0.88769,0.9513,0.78431,0.83359,0.64677,0.57512,0.50732,0.82493,0.00101,0.00101,0.00101
27,65.0088,0.51039,0.43073,0.88687,0.96758,0.68627,0.76711,0.63968,0.53192,0.45763,0.8166,0.0009704,0.0009704,0.0009704
28,67.7237,0.48749,0.41536,0.88717,0.9434,0.72549,0.81658,0.63622,0.58095,0.46531,0.82572,0.0009308,0.0009308,0.0009308
29,70.5797,0.48382,0.40544,0.87386,0.86891,0.77987,0.81837,0.64952,0.56524,0.49313,0.81503,0.0008912,0.0008912,0.0008912
30,73.2558,0.50803,0.40783,0.86975,0.90266,0.78431,0.82246,0.64999,0.58033,0.51679,0.81628,0.0008516,0.0008516,0.0008516
31,76.0123,0.49536,0.41654,0.86421,0.90826,0.78431,0.79663,0.64925,0.5637,0.48881,0.81166,0.000812,0.000812,0.000812
