epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3046,1.9446,3.13805,1.45997,0.003,0.9,0.32029,0.15339,1.75346,3.87004,1.28018,0.000633333,0.000633333,0.000633333
2,95.2723,1.70984,2.13007,1.35834,0.00486,0.63333,0.25576,0.09513,2.08631,4.11186,1.50829,0.00127426,0.00127426,0.00127426
3,152.607,1.70907,1.93619,1.33666,0.91805,0.06667,0.08827,0.03628,2.15857,4.05855,1.73392,0.00188879,0.00188879,0.00188879
4,207.206,1.68488,1.76761,1.36899,0.16334,0.06667,0.04052,0.01412,2.10662,4.36169,1.72886,0.0018812,0.0018812,0.0018812
5,265.189,1.65744,1.62744,1.36108,0.06715,0.23333,0.04945,0.01849,1.9615,4.54899,1.53597,0.0018416,0.0018416,0.0018416
6,319.788,1.62221,1.51044,1.3547,0.376,0.56667,0.41669,0.20033,1.73071,2.11972,1.39174,0.001802,0.001802,0.001802
7,375.331,1.48798,1.31097,1.26675,0.31678,0.36667,0.26535,0.16759,1.6332,2.56514,1.29534,0.0017624,0.0017624,0.0017624
8,423.627,1.51731,1.208,1.25789,0.59328,0.6,0.65715,0.31821,1.93868,2.25016,1.48403,0.0017228,0.0017228,0.0017228
9,469.192,1.41435,1.14951,1.21998,0.59298,0.43721,0.49849,0.22971,1.93105,1.93895,1.42967,0.0016832,0.0016832,0.0016832
10,524.022,1.41123,1.08108,1.20962,0.74168,0.76667,0.76493,0.35803,1.73809,1.63845,1.37984,0.0016436,0.0016436,0.0016436
11,578.626,1.38479,0.9877,1.22323,0.84669,0.63333,0.70454,0.36015,1.90642,1.51628,1.43801,0.001604,0.001604,0.001604
12,627.814,1.3348,0.95589,1.17033,0.85129,0.95434,0.95739,0.47165,1.78647,1.04184,1.39872,0.0015644,0.0015644,0.0015644
